iteration,value,best_value,parameters
34,846.2415354456315,896.2464504798819,"[0.776604245105682, 0.8964233793308192, 0.31019967090733636, 0.44750558924959183, 0.10375829336256481, 4527.182500400822, 5.41376277164132]"
35,910.24115342926,910.24115342926,"[0.07574155404190674, 0.5420775603722551, 0.11623492134264368, 0.9076487666560191, 0.49384372563878143, 5902.769771774091, 2.5863779270268683]"
36,939.24061875774,939.24061875774,"[0.5755499764526198, 0.10139860317451177, 0.9625645772086735, 0.5005362883888606, 0.6453791515505594, 1951.4839926611105, 1.3361527131889606]"
37,873.2368479402298,939.24061875774,"[0.3033894734707705, 0.7766984379302676, 0.9729730155522571, 0.5234161354040421, 0.5258816625697542, 4990.875655991555, 59.379929663437686]"
38,893.243500789607,939.24061875774,"[0.4295609861148568, 0.6227372402290747, 0.02078074081003367, 0.8760888529149403, 0.03873591808953292, 732.9919633778603, 59.23756022605333]"
39,920.2565256072473,939.24061875774,"[0.5741350790411389, 0.32037284027853385, 0.7981521831194723, 0.6702884694232002, 0.8330870988153521, 9614.405353024335, 0.800493683474186]"
40,957.2655125640964,957.2655125640964,"[0.8363723968682207, 0.7697009747901842, 0.41973828092528187, 0.8719781227211854, 0.2769478315527405, 3281.8471415950735, 51.46102424715734]"
41,978.2641894651371,978.2641894651371,"[0.7535432369513504, 0.9983839262536267, 0.2831356721380016, 0.1614391976113403, 0.14494439064720954, 1082.3679929382924, 55.149005744789434]"
42,994.259439103171,994.259439103171,"[0.9155153323296137, 0.7088212368667492, 0.11390783982036645, 0.4523551799029992, 0.014351818405979988, 6280.506415072558, 57.32268814175218]"
43,1011.2548146541545,1011.2548146541545,"[0.19172008861934697, 0.12342009104992513, 0.9830597898718941, 0.19309042032932255, 0.859395746096023, 7699.1760408197915, 51.41161560743563]"
44,1041.2522357069615,1041.2522357069615,"[0.2840834728427478, 0.31016238606319213, 0.593122042690404, 0.8839217763935819, 0.8143927433945017, 3678.89200582058, 2.366522688823516]"
45,1038.2471790537165,1041.2522357069615,"[0.17167095604820737, 0.6965066411296021, 0.24628292875169766, 0.660716902072025, 0.8424511805306844, 8467.805135180985, 0.777406789048114]"
46,1054.2422191719488,1054.2422191719488,"[0.953530046971828, 0.655299506751962, 0.888015105275695, 0.8660283235255926, 0.06952508305304572, 7360.034335762912, 55.25889930718339]"
47,1072.2397994310181,1072.2397994310181,"[0.3011686514610007, 0.5297096098114024, 0.09221913666883108, 0.09511813356174248, 0.9646559843565973, 2344.1313070670144, 39.817556138689774]"
48,1087.237355517443,1087.237355517443,"[0.4885349574210134, 0.2060192876089526, 0.6670168032568237, 0.47318856183135183, 0.12174421147934789, 2957.8865742403505, 7.654591303509653]"
49,1101.2358464534204,1101.2358464534204,"[0.8703981508098684, 0.9726990418142991, 0.8351873420981158, 0.32742482867118317, 0.00825598315436138, 9058.044235356781, 52.773504492338056]"
